Title,User Rating,Genres,Cast,Links
The Naughty Nine,61,"['Action', 'Adventure', 'Thriller']","['Sylvester Stallone', 'Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Iko Uwais', 'Andy García', 'Tony Jaa', 'Randy Couture']",http://themoviedb.org/movie/936059
Robot Apocalypse,21,"['Action', 'Thriller']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']",http://themoviedb.org/movie/854648
After Everything,70,"['Comedy', 'Family', 'Fantasy']","['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Olivia Colman', 'Rowan Atkinson', 'Hugh Grant', 'Sally Hawkins', 'Matt Lucas', 'Mathew Baynton']",http://themoviedb.org/movie/820525
Guardians of the Galaxy Vol. 3,80,"['Comedy', 'Fantasy', 'Family']","['Eddie Murphy', 'Tracee Ellis Ross', 'Jillian Bell', 'Genneya Walton', 'Thaddeus J. Mixson', 'Madison Thomas', 'Nick Offerman', 'Chris Redd', 'Robin Thede']",http://themoviedb.org/movie/447365
Top Gun: Maverick,82,"['Action', 'Drama', 'Romance']","['Jean-Claude Van Damme', 'Pat Morita', 'Danny Trejo', 'Gabrielle Fitzpatrick', 'Larry Drake', 'Vincent Schiavelli', ""David 'Shark' Fralick"", 'Silas Weir Mitchell', 'Jonathan Avildsen']",http://themoviedb.org/movie/361743
Mavka: The Forest Song,73,"['Drama', 'Science Fiction', 'Action', 'Horror']","['Ryunosuke Kamiki', 'Hidetaka Yoshioka', 'Minami Hamabe', 'Kuranosuke Sasaki', 'Yuki Yamada', 'Saki Nakatani', 'Munetaka Aoki', 'Sakura Ando', 'Mio Tanaka']",http://themoviedb.org/movie/459003
Blood Widow,48,"['Action', 'Adventure', 'Science Fiction']","['Karim Mahmoud Abdel Aziz', 'Eyad Nassar', 'Asmaa Abu ElYazeed', 'Sabry Fawaz', 'Mohamed Lotfi', 'Mahmoud Hafez', 'Sara Elshamy', 'Ahmed Hatem', 'Ahmed ElAwadi']",http://themoviedb.org/movie/273509
Uri: The Surgical Strike,72,"['Comedy', 'Fantasy', 'Family']","['Jennifer Garner', 'Ed Helms', 'Emma Myers', 'Brady Noon', 'Rita Moreno', 'Matthias Schweighöfer', 'Vanessa Carrasco', 'Cyrus Arnold', 'Ilia Isorelýs Paulino']",http://themoviedb.org/movie/554600
Babylon A.D.,56,"['Crime', 'Drama', 'History']","['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Tantoo Cardinal', 'John Lithgow', 'Brendan Fraser', 'Cara Jade Myers', 'JaNae Collins']",http://themoviedb.org/movie/9381
The Hunger Games: Mockingjay - Part 1,68,['Science Fiction'],"['Corey Taylor', 'Destiny Salas', 'Lindsey Cruz', 'Steve Delgado', 'Julie Garcia-Briceno', 'Jackie Gerhardy', 'Mark Justice', 'Gotham McFadden', 'Destiny Faith Nelson']",http://themoviedb.org/movie/131631
Talk to Me,72,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']",http://themoviedb.org/movie/1008042
Big Tit Monastery,60,"['Animation', 'Comedy', 'Family']","['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander', 'Rob Schneider', 'Allison Strong', 'Jo Koy', 'Sadie Sandler', 'Sunny Sandler']",http://themoviedb.org/movie/897066
The Mercator Trail,60,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro']",http://themoviedb.org/movie/767852
Muzzle,66,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']",http://themoviedb.org/movie/939335
Rascal Does Not Dream of a Sister Venturing Out,88,[],[],http://themoviedb.org/movie/1056803
Avengers: Infinity War,83,"['Animation', 'Comedy', 'Family']","['Michael Godere', 'Ezekiel Ajeigbe', 'Raul Ceballos', 'Chris Diamantopoulos', 'Mallory Low', 'Zehra Fazal', 'Keith Silverstein', 'Kari Wahlgren']",http://themoviedb.org/movie/299536
The Monkey King: Reborn,72,"['Horror', 'Mystery']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']",http://themoviedb.org/movie/811634
Harry Potter and the Philosopher's Stone,79,"['Science Fiction', 'Action', 'Thriller']","['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']",http://themoviedb.org/movie/671
Nowhere,75,"['War', 'Drama', 'Action']","['Dolph Lundgren', 'Tyrese Gibson', 'Michael Jai White', 'Kellan Lutz', 'Vicellous Shannon', 'Hiram A. Murray', 'Justen Jones', 'Gary David Keast', 'Aaron Courteau']",http://themoviedb.org/movie/1151534
Godzilla x Kong: The New Empire,NR,"['Action', 'Crime', 'Thriller']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']",http://themoviedb.org/movie/823464
The Mongolian Connection,65,"['Action', 'Adventure', 'Thriller']","['Sylvester Stallone', 'Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Iko Uwais', 'Andy García', 'Tony Jaa', 'Randy Couture']",http://themoviedb.org/movie/652810
Black Adam,70,"['Action', 'Thriller']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']",http://themoviedb.org/movie/436270
Radical,76,"['Comedy', 'Family', 'Fantasy']","['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Olivia Colman', 'Rowan Atkinson', 'Hugh Grant', 'Sally Hawkins', 'Matt Lucas', 'Mathew Baynton']",http://themoviedb.org/movie/1058694
Thanksgiving,63,"['Comedy', 'Fantasy', 'Family']","['Eddie Murphy', 'Tracee Ellis Ross', 'Jillian Bell', 'Genneya Walton', 'Thaddeus J. Mixson', 'Madison Thomas', 'Nick Offerman', 'Chris Redd', 'Robin Thede']",http://themoviedb.org/movie/1071215
Iké Boys,55,"['Action', 'Drama', 'Romance']","['Jean-Claude Van Damme', 'Pat Morita', 'Danny Trejo', 'Gabrielle Fitzpatrick', 'Larry Drake', 'Vincent Schiavelli', ""David 'Shark' Fralick"", 'Silas Weir Mitchell', 'Jonathan Avildsen']",http://themoviedb.org/movie/786415
Animal,70,"['Drama', 'Science Fiction', 'Action', 'Horror']","['Ryunosuke Kamiki', 'Hidetaka Yoshioka', 'Minami Hamabe', 'Kuranosuke Sasaki', 'Yuki Yamada', 'Saki Nakatani', 'Munetaka Aoki', 'Sakura Ando', 'Mio Tanaka']",http://themoviedb.org/movie/781732
One Piece: Episode of Skypiea,69,"['Action', 'Adventure', 'Science Fiction']","['Karim Mahmoud Abdel Aziz', 'Eyad Nassar', 'Asmaa Abu ElYazeed', 'Sabry Fawaz', 'Mohamed Lotfi', 'Mahmoud Hafez', 'Sara Elshamy', 'Ahmed Hatem', 'Ahmed ElAwadi']",http://themoviedb.org/movie/545742
Thriller Night,69,"['Comedy', 'Fantasy', 'Family']","['Jennifer Garner', 'Ed Helms', 'Emma Myers', 'Brady Noon', 'Rita Moreno', 'Matthias Schweighöfer', 'Vanessa Carrasco', 'Cyrus Arnold', 'Ilia Isorelýs Paulino']",http://themoviedb.org/movie/118249
